source,target
10001,10001
10002,10001
10003,10001
10004,10001
10005,10001
10006,10001
10007,10001
10009,10001
10010,10001
10011,10001
10012,10001
10013,10001
10014,10001
10016,10001
10017,10001
10018,10001
10019,10001
10020,10001
10021,10001
10022,10001
10023,10001
10024,10001
10025,10001
10026,10001
10027,10001
10028,10001
10029,10001
10030,10001
10031,10001
10032,10001
10033,10001
10034,10001
10035,10001
10036,10001
10037,10001
10038,10001
10039,10001
10040,10001
10044,10001
10065,10001
10075,10001
10128,10001
10280,10001
10301,10001
10302,10001
10303,10001
10304,10001
10305,10001
10306,10001
10307,10001
10308,10001
10309,10001
10310,10001
10312,10001
10314,10001
10451,10451
10452,10451
10453,10451
10454,10451
10455,10451
10456,10451
10457,10451
10458,10451
10459,10451
10460,10451
10461,10451
10462,10451
10463,10451
10464,10451
10465,10451
10466,10451
10467,10451
10468,10451
10469,10451
10470,10451
10471,10451
10472,10451
10473,10451
10474,10451
10475,10451
11004,11004
11005,11004
11101,11004
11102,11004
11103,11004
11104,11004
11105,11004
11106,11004
11201,11201
11203,11201
11204,11201
11205,11201
11206,11201
11207,11201
11208,11201
11209,11201
11210,11201
11211,11201
11212,11201
11213,11201
11214,11201
11215,11201
11216,11201
11217,11201
11218,11201
11219,11201
11220,11201
11221,11201
11222,11201
11223,11201
11224,11201
11225,11201
11226,11201
11228,11201
11229,11201
11230,11201
11231,11201
11232,11201
11233,11201
11234,11201
11235,11201
11236,11201
11237,11201
11238,11201
11239,11201
11354,11354
11355,11354
11356,11354
11357,11354
11358,11354
11360,11354
11361,11354
11362,11354
11363,11354
11364,11354
11365,11354
11366,11354
11367,11354
11368,11354
11369,11354
11370,11354
11372,11354
11373,11354
11374,11354
11375,11354
11377,11354
11378,11354
11379,11354
11385,11354
11411,11354
11412,11354
11413,11354
11414,11354
11415,11354
11416,11354
11417,11354
11418,11354
11419,11354
11420,11354
11421,11354
11422,11354
11423,11354
11426,11354
11427,11354
11428,11354
11429,11354
11432,11354
11433,11354
11434,11354
11435,11354
11436,11354
11691,11354
11692,11354
11693,11354
11694,11354
11695,11354
11697,11354
