,ZipCode,counts,Borough,Neighborhood
0,10001.0,1705,Manhattan,Chelsea and Clinton
1,10002.0,2057,Manhattan,Lower East Side
2,10003.0,2542,Manhattan,Lower East Side
3,10004.0,270,Manhattan,Lower Manhattan
4,10005.0,687,Manhattan,Lower Manhattan
5,10006.0,282,Manhattan,Lower Manhattan
6,10007.0,404,Manhattan,Lower Manhattan
7,10009.0,3793,Manhattan,Lower East Side
8,10010.0,2006,Manhattan,Gramercy Park and Murray Hill
9,10011.0,3549,Manhattan,Chelsea and Clinton
10,10012.0,1381,Manhattan,Greenwich Village and Soho
11,10013.0,1330,Manhattan,Greenwich Village and Soho
12,10014.0,2345,Manhattan,Greenwich Village and Soho
13,10016.0,2580,Manhattan,Gramercy Park and Murray Hill
14,10017.0,760,Manhattan,Gramercy Park and Murray Hill
15,10018.0,677,Manhattan,Chelsea and Clinton
16,10019.0,2844,Manhattan,Chelsea and Clinton
17,10020.0,5,Manhattan,Chelsea and Clinton
18,10021.0,2303,Manhattan,Upper East Side
19,10022.0,1768,Manhattan,Gramercy Park and Murray Hill
20,10023.0,3895,Manhattan,Upper West Side
21,10024.0,3616,Manhattan,Upper West Side
22,10025.0,4785,Manhattan,Upper West Side
23,10026.0,1068,Manhattan,Central Harlem
24,10027.0,1604,Manhattan,Central Harlem
25,10028.0,2732,Manhattan,Upper East Side
26,10029.0,2743,Manhattan,East Harlem
27,10030.0,591,Manhattan,Central Harlem
28,10031.0,1296,Manhattan,Inwood and Washington Heights
29,10032.0,1274,Manhattan,Inwood and Washington Heights
30,10033.0,1251,Manhattan,Inwood and Washington Heights
31,10034.0,1090,Manhattan,Inwood and Washington Heights
32,10035.0,951,Manhattan,East Harlem
33,10036.0,2000,Manhattan,Chelsea and Clinton
34,10037.0,481,Manhattan,Central Harlem
35,10038.0,1360,Manhattan,Lower Manhattan
36,10039.0,646,Manhattan,Central Harlem
37,10040.0,948,Manhattan,Inwood and Washington Heights
38,10044.0,384,Manhattan,Upper East Side
39,10065.0,1607,Manhattan,Upper East Side
40,10075.0,1433,Manhattan,Upper East Side
41,10128.0,3567,Manhattan,Upper East Side
42,10280.0,510,Manhattan,Lower Manhattan
43,10301.0,1137,Staten Island,Stapleton and St. George
44,10302.0,531,Staten Island,Port Richmond
45,10303.0,616,Staten Island,Port Richmond
46,10304.0,1212,Staten Island,Stapleton and St. George
47,10305.0,1278,Staten Island,Stapleton and St. George
48,10306.0,2110,Staten Island,South Shore
49,10307.0,557,Staten Island,South Shore
50,10308.0,1233,Staten Island,South Shore
51,10309.0,1296,Staten Island,South Shore
52,10310.0,808,Staten Island,Port Richmond
53,10312.0,2520,Staten Island,South Shore
54,10314.0,2701,Staten Island,Mid-Island
55,10451.0,790,Bronx,High Bridge and Morrisania
56,10452.0,705,Bronx,High Bridge and Morrisania
57,10453.0,766,Bronx,Central Bronx
58,10454.0,701,Bronx,Hunts Point and Mott Haven
59,10455.0,708,Bronx,Hunts Point and Mott Haven
60,10456.0,1044,Bronx,High Bridge and Morrisania
61,10457.0,836,Bronx,Central Bronx
62,10458.0,904,Bronx,Bronx Park and Fordham
63,10459.0,733,Bronx,Hunts Point and Mott Haven
64,10460.0,915,Bronx,Central Bronx
65,10461.0,1377,Bronx,Southeast Bronx
66,10462.0,1455,Bronx,Southeast Bronx
67,10463.0,1680,Bronx,Kingsbridge and Riverdale
68,10464.0,228,Bronx,Southeast Bronx
69,10465.0,1509,Bronx,Southeast Bronx
70,10466.0,707,Bronx,Northeast Bronx
71,10467.0,1365,Bronx,Bronx Park and Fordham
72,10468.0,770,Bronx,Bronx Park and Fordham
73,10469.0,998,Bronx,Northeast Bronx
74,10470.0,254,Bronx,Northeast Bronx
75,10471.0,776,Bronx,Kingsbridge and Riverdale
76,10472.0,995,Bronx,Southeast Bronx
77,10473.0,1357,Bronx,Southeast Bronx
78,10474.0,160,Bronx,Hunts Point and Mott Haven
79,10475.0,511,Bronx,Northeast Bronx
80,11004.0,312,Queens,Southeast Queens
81,11005.0,7,Queens,Southeast Queens
82,11101.0,1984,Queens,Northwest Queens
83,11102.0,1224,Queens,Northwest Queens
84,11103.0,863,Queens,Northwest Queens
85,11104.0,909,Queens,Northwest Queens
86,11105.0,1098,Queens,Northwest Queens
87,11106.0,1136,Queens,Northwest Queens
88,11201.0,3987,Brooklyn,Northwest Brooklyn
89,11203.0,715,Brooklyn,Flatbush
90,11204.0,889,Brooklyn,Borough Park
91,11205.0,1381,Brooklyn,Northwest Brooklyn
92,11206.0,2247,Brooklyn,Bushwick and Williamsburg
93,11207.0,1452,Brooklyn,East New York and New Lots
94,11208.0,1184,Brooklyn,East New York and New Lots
95,11209.0,2208,Brooklyn,Southwest Brooklyn
96,11210.0,572,Brooklyn,Flatbush
97,11211.0,2372,Brooklyn,Greenpoint
98,11212.0,900,Brooklyn,Central Brooklyn
99,11213.0,907,Brooklyn,Central Brooklyn
